component_name,product_name,resolution_code,status_code,quantity_of_votes,quantity_of_comments,bug_fix_time,severity_code,assignee_name
rwt,product_121,1,4,0,5,20,2,rap-inbox
incubator,product_52,1,4,0,10,109,2,simon_kaegi
ui,product_115,1,4,0,3,1,4,caniszczyk
cdt,product_17,1,4,0,4,0,5,Randy.Rohrbach
monitor,product_other,1,4,0,10,77,6,sam.davis
wtp datatools,product_173,1,6,0,5,0,6,ledunnel
cdt,product_17,1,4,0,3,260,2,aleherb+eclipse
j2ee standard tools,product_157,1,6,0,42,29,5,jsholl
user,product_117,1,4,0,21,7,4,platform-ua-inbox
p2,product_52,1,4,0,6,24,4,equinox.p2-inbox
rse,product_141,1,4,0,3,10,2,dmcknigh
git,product_20,1,4,0,4,2,2,webmaster
geclipse,product_173,1,6,0,6,108,2,tkoecker
runtime,product_154,1,6,0,12,15,2,hsiliev
server,product_70,1,4,0,2,19,2,jetty-inbox
otdt,product_other,1,4,0,2,0,2,stephan.herrmann
tool,product_49,1,6,0,5,1,2,skannoor
user,product_other,1,4,0,1,0,2,etrice.userinterface-inbox
resources,product_117,1,6,0,12,2,4,john.arthorne
ui,product_115,1,4,0,10,0,6,pde-ui-inbox
wst,product_167,1,6,0,7,1,2,wst.xml-inbox
releng,product_117,1,4,0,27,105,2,kim.moir
ui,product_115,1,4,0,11,1,4,caniszczyk
build,product_115,1,4,0,3,0,2,andrew.niefer
swt,product_117,1,4,0,4,0,2,akurtakov
cdt,product_17,1,4,0,3,289,2,john.camelon
core,product_90,1,6,0,7,106,2,wtv368
ui,product_115,1,4,0,2,40,1,pde-ui-inbox
main,product_other,1,6,0,4,1,2,nicolas.bros
ui,product_117,1,4,0,7,3,2,simon.scholz
text,product_69,1,4,0,2,1,2,jdt-text-inbox
releng,product_117,1,4,0,4,0,2,platform-releng-inbox
build,product_115,1,4,0,9,0,2,andrew.niefer
core,product_106,1,6,0,5,0,2,mdt-ocl-inbox
build,product_10,1,6,0,4,2,2,yjiang
general,product_72,1,4,0,3,4,2,nitind
data,product_10,1,6,0,3,0,5,Birt-Data-inbox
cdt,product_17,1,4,0,3,0,2,dinglis
proposals and reviews,product_20,1,4,0,8,9,2,emo
report,product_10,1,6,0,5,6,2,yuejie.chen
bundles,product_109,1,4,0,16,4,4,david_williams
editor,product_110,1,4,0,6,4,2,elijahe
team,product_117,1,4,0,7,1,2,Szymon.Brandys
data,product_10,1,4,0,3,113,2,Birt-Data-inbox
content,product_49,1,6,0,11,202,2,noster
user,product_other,1,6,0,4,0,2,etrice.userinterface-inbox
report,product_10,1,6,0,6,3,2,vpetry
team,product_43,1,6,0,4,6,2,planger
team,product_117,1,4,0,2,0,2,platform-team-inbox
compiler,product_7,1,4,0,5,397,2,adrian.colyer
cdt,product_17,1,4,0,12,6,4,cdt-core-inbox
rpm,product_78,1,4,0,10,29,2,linux.rpm-inbox
ui,product_117,1,4,0,10,5,5,mdelder
wst,product_168,1,6,0,3,0,2,rmah
client,product_110,1,4,0,4,4,2,sudol.wojciech
releng,product_117,1,4,0,2,0,2,david_williams
swt,product_117,1,4,3,7,50,4,grant_gayed
text,product_117,1,4,0,5,1705,2,platform-text-inbox
runtime,product_117,1,4,0,9,89,2,platform-runtime-inbox
bugzilla,product_91,1,4,0,9,44,2,hiroyuki.inaba
text,product_117,1,4,0,7,88,2,platform-text-inbox
cdt,product_17,1,4,0,17,83,2,recoskie
cdt,product_17,1,6,0,5,27,2,khapitas
incubator,product_52,1,4,0,7,12,2,eclipse
ui,product_117,1,4,0,3,2,1,karsten.thoms
swordfish,product_173,1,4,0,2,13,4,swordfish.core-inbox
hyades,product_173,1,6,0,8,1,2,antony.miguel
cvs,product_117,1,4,0,3,5,2,platform-cvs-inbox
ui,product_115,1,4,0,2,0,2,pde-ui-inbox
alf,product_173,1,6,0,4,8,2,tbuss
ui,product_3,1,4,0,13,49,2,AJDT-inbox
query,product_153,1,4,0,6,1322,2,viatra-query
other,product_161,1,4,0,7,47,2,konstantin
report,product_10,1,6,0,3,16,2,qwang
cosmos,product_173,1,4,0,3,73,2,dlwhiteman
cvs,product_20,1,4,0,13,32,2,webmaster
ui,product_117,1,4,0,10,0,2,bokowski
general,product_61,1,4,0,4,11,2,crevells
cdt,product_17,1,4,0,23,21,4,victor.lenet
tptp,product_173,1,6,0,4,25,2,ewchan
ui,product_117,1,4,0,10,31,2,raap
xtext,product_146,1,4,0,4,25,2,karsten.thoms
stp,product_173,1,4,0,2,19,2,Adrian.skehill
cdt,product_17,1,4,0,6,237,2,dschaefer
other,product_104,1,4,0,2,451,2,wim.jongman
website,product_20,1,4,0,2,4,2,phoenix.ui-inbox
team,product_43,1,6,0,3,12,2,planger
recommenders,product_173,1,4,0,3,0,2,sewe
smarthome,product_173,1,6,0,5,116,2,oliver
rdt,product_118,1,4,0,2,0,5,recoskie
core,product_other,1,4,0,16,4,5,atf.core-inbox
cdt,product_17,1,6,0,3,0,2,vivkong
releng,product_other,1,4,0,3,121,2,nboldt
jst,product_168,1,6,0,9,24,2,trungha
cdt,product_17,1,4,0,5,2,2,gheorghe
p2,product_52,1,4,0,13,0,5,john.arthorne
general,product_other,1,6,0,5,0,2,buildship-inbox
process,product_20,1,6,0,3,60,2,bjorn.freeman-benson
diagram,product_113,1,4,0,2,51,2,tischenko
forums and newsgroups,product_20,1,4,0,2,3,2,webmaster
hyades,product_173,1,6,0,6,1,4,paulslau
core,product_51,1,6,0,4,14,2,dkolovos
tool,product_49,1,6,0,5,7,2,jxi
ui,product_117,1,4,0,5,0,2,qualidafial
cdt,product_17,1,6,0,8,0,2,mikhailkhod
user,product_117,1,4,0,2,29,2,platform-ua-inbox
compiler,product_7,1,4,0,3,8,2,aspectj-inbox
docker,product_78,1,4,0,6,1,2,jjohnstn
general,product_21,1,4,0,15,15,4,neil.hauge
text,product_117,1,4,0,17,172,2,lufimtse
report,product_10,1,6,0,4,0,2,yuejie.chen
common,product_25,1,4,0,2,0,2,dltk.common-inbox
imp,product_173,1,4,0,2,190,2,suttons
call graph,product_78,1,4,0,12,46,2,rgrunber
luadevelopmenttools,product_other,1,4,0,6,523,4,ldt-inbox
cvs,product_117,1,4,0,2,48,2,valentam
project management & portal,product_20,1,6,0,7,7,2,portal-inbox
diagram,product_113,1,4,0,7,1,2,cletavernier
resources,product_117,1,4,0,6,2,2,debbie_wilson
tptp,product_173,1,6,0,7,70,4,ewchan
iam,product_173,1,6,0,6,0,2,iam.editors-inbox
diagrams,product_144,1,6,0,4,1519,2,tigerstripe.core-inbox
core,product_103,1,6,0,5,1,2,esp1
user,product_117,1,4,0,10,348,2,platform-ua-inbox
report,product_10,1,6,0,12,4,4,rlu
p2,product_52,1,4,0,5,25,2,fabian.pfaff
user,product_117,1,4,0,4,0,2,ChrisAustin
gyrex,product_173,1,4,0,9,63,5,gunnar
releng,product_121,1,4,0,2,32,2,rap-inbox
editor,product_116,1,6,0,8,7,5,seva.lapsha
ui,product_129,1,6,0,5,0,2,shenxue.zhou
releng,product_126,1,4,0,2,1,2,riena.core-inbox
cosmos,product_173,1,6,0,6,0,6,don.ebright
general,product_72,1,4,0,3,29,2,childsb
chart,product_10,1,6,0,7,54,2,nli
vjet,product_173,1,4,0,2,6,2,earlyster
cdt,product_17,1,4,0,3,16,2,cdt-debug-inbox
cdo,product_39,1,6,0,5,4,2,stepper
tptp,product_173,1,6,0,5,5,4,dguilbaud
query,product_153,1,4,0,6,3,2,viatra-query
report,product_10,1,6,0,3,8,2,ianl
tptp,product_173,1,6,0,45,22,6,paulslau
core,product_106,1,6,0,4,5,2,mdt-ocl-inbox
rse,product_141,1,4,0,6,7,2,dmcknigh
project management & portal,product_20,1,6,0,10,12,2,portal-inbox
ecf,product_29,1,4,0,7,65,4,ecf.core-inbox
releng,product_117,1,4,0,5,1,2,platform-releng-inbox
incubator,product_52,1,4,0,5,0,2,unknown1
rse,product_141,1,4,0,5,0,2,dmcknigh
wst,product_167,1,4,0,2,0,2,d_a_carver
tptp,product_173,1,6,0,4,7,4,huangys
project,product_78,1,4,0,6,167,2,jjohnstn
report,product_10,1,6,0,4,0,4,wyan
packagingtools,product_78,1,4,0,11,4,2,linux.packagingtools-inbox
other,product_157,1,6,0,9,783,2,webtools.education-inbox
data,product_10,1,6,0,5,8,2,xiaofeng.zhang
server,product_70,1,4,0,3,4,4,gregw
unknown,product_other,1,6,0,4,59,2,glyn.normington
wst,product_166,1,6,0,5,2,2,arvera
content,product_49,1,6,0,6,10,2,Chris.Sibbald
framework,product_52,1,4,0,2,0,2,equinox.framework-inbox
tasks,product_91,1,4,0,3,0,2,robert.elves
samples,product_62,1,4,0,5,82,2,borlander
other,product_other,1,6,0,3,0,2,emfdiffmerge.ui-inbox
core,product_106,1,6,0,4,0,4,give.a.damus
cdt,product_17,1,4,0,2,11,2,dschaefer
server,product_70,1,6,0,5,362,4,jesse.mcconnell
edt,product_173,1,6,0,6,42,2,xiaobinc
jaxb,product_21,1,4,0,2,48,2,paul.fullbright
recommenders,product_173,1,6,0,6,0,2,johannes.dorn
core,product_other,1,4,0,5,495,5,antonio.campesino.robles
jgit,product_71,1,4,0,2,1,4,jgit.core-inbox
imp,product_173,1,4,0,4,23,5,jurgen.vinju
ci,product_20,1,6,0,4,1,2,ci.admin-inbox
framework,product_52,1,4,0,10,1,2,tjwatson
ui,product_117,1,6,0,4,18,5,Tod_Creasey
build,product_70,1,4,0,2,0,2,jesse.mcconnell
git,product_110,1,4,0,6,14,2,tomasz.zarna
git,product_110,1,4,0,3,0,2,tomasz.zarna
wst,product_167,1,6,0,4,347,2,david_williams
swt,product_117,1,4,0,8,31,2,veronika_irvine
other,product_173,1,4,0,2,0,2,zyyangbj
server,product_70,1,4,0,4,18,2,gregw
editor,product_116,1,6,0,7,10,4,zulus
cdt,product_17,1,4,0,3,187,2,sevoy
cdt,product_17,1,4,0,9,19,2,jonah
core,product_106,1,4,0,2,12,2,mdt-ocl-inbox
xtext,product_146,1,6,0,9,12,5,tmf.xtext-inbox
ui,product_126,1,4,0,2,2,2,Stefan.Liebig
git,product_20,1,4,0,6,93,2,webmaster
foundation,product_31,1,4,1,3,350,6,lukas.jungmann
ui,product_69,1,4,0,3,0,2,benno.baumgartner
chart,product_10,1,6,0,3,10,2,yi.wang
lttng,product_78,1,6,0,6,4,2,alvsan09
core,product_69,1,4,0,4,34,2,david_audel
user,product_117,1,4,0,6,24,2,akurtakov
documentation,product_10,1,4,0,3,51,2,jtatchel
cdt,product_17,1,4,0,4,937,2,aleherb+eclipse
ldp,product_79,1,6,0,2,2,2,sspeiche
ui,product_115,1,4,0,24,121,2,caniszczyk
cdt,product_17,1,4,0,2,87,4,gheorghe
diagram,product_113,1,4,0,12,312,5,give.a.damus
cross-project,product_20,1,4,0,15,6,2,david_williams
core,product_43,1,6,0,4,258,5,emf.compare-inbox
compendium,product_52,1,4,0,6,2,2,equinox.compendium-inbox
connector,product_other,1,4,0,3,0,2,reckord
luadevelopmenttools,product_other,1,4,0,2,0,2,sbernard
setup,product_108,1,4,0,2,0,2,stepper
tptp,product_173,1,6,0,7,268,2,slamers
ui,product_129,1,6,0,3,1,4,ling.hao
wst,product_161,1,6,0,8,2,4,karasiuk
editor,product_116,1,6,0,3,0,2,php.ui-inbox
diagram,product_113,1,6,0,8,357,2,fanch.bonnabesse
client,product_110,1,4,0,2,0,2,Szymon.Brandys
debugger,product_116,1,6,0,3,88,2,spektom
hyades,product_173,1,6,0,5,88,2,rdanek
core,product_43,1,6,0,9,248,4,emf.compare-inbox
core,product_other,1,6,0,11,0,4,florian
jpa,product_31,1,4,0,4,183,2,guy.pelletier
setup,product_108,1,4,0,8,3,2,Ed.Merks
user,product_117,1,4,0,2,1,2,dejan
rm,product_118,1,4,0,3,191,2,g.watson
others,product_113,1,4,0,19,194,4,give.a.damus
core,product_133,1,6,0,9,5,2,maxime.porhel
ui,product_69,1,4,0,3,93,2,markus.kell.r
resources,product_117,1,4,0,5,14,2,eclipse
edt,product_173,1,6,0,3,10,5,huozz
other,product_103,1,6,0,5,113,2,dirk.fauth
text,product_69,1,4,0,2,2,4,daniel_megert
ui,product_69,1,4,0,4,219,2,markus.kell.r
enablement,product_23,1,6,0,8,143,2,neilwang
editor ui,product_other,1,4,0,10,0,2,egerrit-inbox
ui,product_117,1,4,0,11,89,2,nick_edgar
ui,product_69,1,4,0,3,0,2,martinae
foundation,product_31,1,4,0,10,57,2,curtisr7
other,product_20,1,4,0,7,510,4,webmaster
jpa,product_31,1,4,0,4,20,2,guy.pelletier
ui,product_117,1,6,0,6,14,2,eclipse
core,product_113,1,4,0,2,0,2,cletavernier
gef,product_55,1,4,0,10,49,2,gef-inbox
ui,product_117,1,4,0,7,1,2,Lars.Vogel
core,product_51,1,6,0,7,19,4,dkolovos
rwt,product_121,1,4,0,3,15,2,rap-inbox
ui,product_91,1,4,0,4,0,2,steffen.pingel
other,product_other,1,4,0,2,16,5,dirigible-inbox
report,product_10,1,6,0,5,15,2,yliang
core,product_68,1,4,0,4,6,2,ian.trimble
incubator,product_52,1,4,0,6,55,2,unknown1
other,product_154,1,6,0,2,5,2,eclipse
releng,product_114,1,6,0,15,21,2,eposse
data access,product_10,1,6,0,3,146,2,xwu
higgins,product_173,1,6,0,3,91,2,slyakhov
other,product_104,1,4,0,4,139,2,hal
wst,product_161,1,4,0,4,273,2,cbridgha
package,product_other,1,4,0,3,0,2,rtp.all-inbox
jst,product_168,1,6,0,5,0,6,makandre
common,product_44,1,6,0,4,7,2,emueller
runtime,product_117,1,4,0,4,175,2,tjwatson
tptp,product_173,1,6,0,4,0,2,julien.canches
core,product_39,1,6,0,3,0,4,Ed.Merks
cdo,product_39,1,6,0,23,95,2,caspar_d
datatools,product_23,1,4,0,18,540,2,dtp.connectivity-inbox
other,product_118,1,4,0,2,288,4,com-eclipse-org
sequoyah,product_173,1,6,0,3,92,2,pulsar.sequoyah-inbox
general,product_157,1,4,0,2,0,2,jst-inbox
client,product_110,1,4,0,2,26,1,john.arthorne
ci,product_20,1,4,0,6,2,2,ci.admin-inbox
user,product_117,1,4,0,2,0,2,birsan
general,product_21,1,4,0,5,3,2,neil.hauge
cosmos,product_173,1,6,0,8,40,2,sadravid
cdt,product_17,1,6,0,5,1,2,pawel.1.piech
setup,product_108,1,4,0,7,11,2,Ed.Merks
code formatter,product_116,1,6,0,5,10,2,php.ui-inbox
framework,product_52,1,4,0,3,1,2,tjwatson
clientui,product_44,1,6,0,2,8,2,jfaltermeier
general,product_72,1,4,2,14,429,2,nitind
client,product_110,1,4,0,10,214,2,grant_gayed
client,product_110,1,4,0,7,167,2,susan
foundation,product_31,1,6,0,21,101,2,tom.ware
jgit,product_71,1,4,0,10,103,5,sop
plug-ins,product_145,1,6,0,5,1,2,titan-inbox
ui,product_69,1,4,0,7,1,2,akiezun
other,product_153,1,6,0,2,356,2,modeling.gmt.viatra2-inbox
ui,product_115,1,4,0,4,2,2,caniszczyk
modelbase,product_23,1,6,0,6,1,2,hskolwal
diagram,product_113,1,6,0,6,1081,2,tischenko
releng,product_117,1,6,0,14,8,4,camle
report,product_10,1,6,0,6,6,2,yuejie.chen
jpa,product_31,1,4,0,5,51,2,guy.pelletier
swt,product_117,1,4,0,5,899,2,arunkumar.thondapu
docs,product_16,1,4,0,37,23,2,david_williams
jst,product_164,1,6,0,17,85,2,rfrost
jst,product_164,1,6,0,7,119,2,cbridgha
text,product_69,1,4,0,2,285,2,jdt-text-inbox
update,product_117,1,4,0,4,2,2,birsan
ui,product_115,1,4,0,14,3,2,ankur_sharma
compare,product_117,1,4,0,10,0,2,Szymon.Brandys
ui,product_69,1,4,0,9,0,2,akiezun
releng,product_117,1,4,0,6,14,2,kim.moir
otj,product_other,1,4,0,2,0,2,stephan.herrmann
xtext,product_146,1,6,0,4,6,2,tmf.xtext-inbox
client,product_110,1,4,0,3,20,2,emoffatt
jpa,product_31,1,6,0,4,0,2,eclipselink.orm-inbox
ui,product_91,1,4,0,13,1,2,steffen.pingel
swt,product_117,1,4,0,2,0,2,arunkumar.thondapu
ui,product_115,1,4,0,14,25,2,pde-ui-inbox
ui,product_115,1,4,0,2,28,2,dejan
lttng,product_78,1,6,0,2,0,2,fchouinard
core,product_91,1,4,0,8,4,5,robert.elves
proposals and reviews,product_20,1,4,0,5,50,2,emo
ui,product_117,1,6,0,5,110,2,Tod_Creasey
unknown,product_154,1,6,0,1,0,2,glyn.normington
emf forms,product_33,1,6,0,2,1,2,eneufeld
swt,product_117,1,4,0,9,2,2,skovatch
scout sdk,product_131,1,6,0,4,71,2,scout.core-inbox
server,product_110,1,4,0,3,27,2,ahunter.eclipse
ui,product_117,1,6,0,12,5,4,eclipse
core,product_139,1,4,0,2,4,2,igor.burilo
core,product_91,1,4,0,3,4,4,mik.kersten
gef,product_55,1,4,0,2,0,2,ebordeau
ui,product_115,1,4,0,4,4,2,baumanbr
ui,product_117,1,4,0,8,2983,2,paul-eclipse
scout,product_131,1,6,0,7,13,2,scout.core-inbox
server,product_70,1,6,0,2,43,2,tbecker
jst,product_164,1,4,0,4,0,2,zalapa
editor,product_110,1,4,0,2,13,2,Silenio_Quarti
gef,product_55,1,4,0,2,0,2,gef-inbox
cdt,product_17,1,4,0,17,18,2,elaskavaia.cdt
tptp,product_173,1,6,0,9,120,2,smith
designer,product_113,1,6,0,4,102,2,mdt-papyrus-inbox
core,product_113,1,6,0,3,1446,2,cletavernier
xtext,product_146,1,6,0,6,9,2,tmf.xtext-inbox
cross-project,product_20,1,4,0,19,35,2,cross-project.inbox
runtime,product_117,1,4,0,2,21,2,john.arthorne
releng,product_117,1,4,0,2,0,2,john.arthorne
validation,product_other,1,4,0,7,590,2,emfservices.validation-inbox
ui,product_115,1,4,0,7,85,2,ankur_sharma
apt,product_69,1,4,0,6,6,2,eclipse
other,product_20,1,4,0,9,36,2,license
moxy,product_31,1,4,0,4,105,2,matt.macivor
runtime,product_36,1,4,0,2,0,2,efxclipse-inbox
cdt,product_17,1,4,0,2,0,2,aleherb+eclipse
build,product_115,1,4,0,5,44,2,dj.houghton
ohf,product_173,1,4,0,3,63,2,rwcarroll
releng,product_91,1,4,0,6,28,2,sam.davis
runtime,product_other,1,4,0,2,0,2,ivan.inozemtsev
runtime,product_154,1,6,0,4,8,5,glyn.normington
resources,product_117,1,4,0,6,4,2,rodrigo
jgit,product_71,1,4,0,6,1058,2,jgit.core-inbox
install,product_89,1,6,5,55,888,5,reckord
jst,product_166,1,6,0,9,2,2,gorkem.ercan
eclipse-build,product_78,1,4,0,2,4,2,krzysztof.daniel
diagram,product_113,1,4,0,5,5,2,mdt-papyrus-inbox
releng,product_117,1,4,0,3,20,2,akurtakov
demo,product_121,1,4,0,2,85,2,rap-inbox
update,product_117,1,4,0,7,0,4,dejan
compiler,product_7,1,4,0,5,57,2,aclement
eswt,product_53,1,4,0,3,217,2,mfhsu
ui,product_115,1,4,0,2,10,2,pde-ui-inbox
core,product_106,1,6,0,5,1,2,give.a.damus
scout sdk,product_131,1,6,0,4,7,2,scout.core-inbox
other,product_96,1,6,0,5,14,2,torkildr
cvs,product_117,1,4,0,3,183,2,platform-cvs-inbox
website,product_20,1,4,0,4,1744,2,phoenix.ui-inbox
wst,product_161,1,6,0,4,6,5,jlanuti
ui,product_117,1,4,0,11,4638,2,Lars.Vogel
releng,product_117,1,4,0,3,0,2,platform-releng-inbox
wst,product_166,1,6,0,10,16,2,deboer
tptp,product_173,1,6,0,9,119,2,randy.d.smith
other,product_153,1,4,0,9,100,2,davidi
diagram,product_133,1,6,0,7,93,2,sirius.diagram-inbox
ui,product_69,1,4,0,2,2,1,martinae
user,product_117,1,4,0,3,0,2,curtispd
ui,product_69,1,4,0,2,1,2,jdt-ui-inbox
common,product_146,1,6,0,4,2,2,tmf.xtext-inbox
foundation,product_31,1,4,0,8,567,2,christopher.delahunt
ui,product_69,1,4,0,3,5,1,Markus_Huebscher
cdt,product_17,1,6,0,3,2,2,andrew.niefer
ui,product_115,1,4,0,5,0,2,mike.pawlowski
report,product_10,1,4,0,2,0,2,rlu
editor,product_116,1,6,0,6,8,4,seva.lapsha
ecf,product_29,1,4,0,5,1,5,ecf.core-inbox
build,product_70,1,4,0,2,6,1,jesse.mcconnell
team,product_117,1,4,0,3,0,2,platform-team-inbox
update,product_117,1,4,0,2,0,2,platform-update-inbox
bundlor,product_154,1,6,0,3,5,2,dmarthaler
data,product_10,1,4,0,2,7,2,lchan
core,product_43,1,6,0,2,0,4,emf.compare-inbox
tptp,product_173,1,6,0,7,7,2,sleeloy
ui,product_38,1,4,0,3,142,2,egit.ui-inbox
call graph,product_78,1,4,0,3,0,2,rgrunber
core,product_113,1,6,0,4,1,2,yann.tanguy
core,product_43,1,6,0,11,607,2,emf.compare-inbox
ui,product_117,1,4,0,5,9,2,tom.schindl
jst,product_164,1,6,0,5,11,6,cbridgha
swt,product_117,1,4,0,4,1,2,Lars.Vogel
user,product_117,1,6,0,9,21,2,eclipse
cvs,product_117,1,4,0,2,29,2,platform-cvs-inbox
cdt,product_17,1,4,0,3,6,4,mschorn.eclipse
cdt,product_17,1,4,0,2,10,2,mikhailkhod
p2,product_52,1,4,0,3,0,2,equinox.p2-inbox
proposals and reviews,product_20,1,4,0,8,381,2,emo
cdt,product_17,1,6,0,2,6,2,cdt-doc-inbox
general,product_other,1,4,0,4,9,2,ecore-inbox
server,product_70,1,4,0,2,0,2,janb
data,product_10,1,4,0,5,34,4,lzhu
resources,product_117,1,4,0,4,1,2,platform-resources-inbox
project,product_78,1,4,0,4,127,2,jjohnstn
core,product_62,1,4,0,4,1,2,tikhomirov.artem
p2,product_52,1,4,0,2,0,2,equinox.p2-inbox
wst,product_161,1,6,0,7,131,2,david_williams
code assist,product_116,1,6,0,5,96,2,php.ui-inbox
ip log tool,product_20,1,4,0,4,2,2,wayne.beaton
ui,product_115,1,4,0,4,14,2,curtis.windatt.public
oprofile,product_78,1,4,0,3,7,2,rgrunber
cdt,product_17,1,4,0,13,16,4,angvoz.dev
text,product_69,1,4,0,4,5,2,eclipse
core,product_114,1,6,0,13,21,2,give.a.damus
planeteclipse,product_173,1,6,0,5,1,2,caniszczyk
jst,product_166,1,6,0,9,1,4,gorkem.ercan
core,product_other,1,6,0,6,26,2,olaf
compiler,product_7,1,4,0,14,3,2,aspectj-inbox
ve,product_173,1,6,0,3,19,2,Winchest
xtext,product_146,1,6,0,5,105,2,tmf.xtext-inbox
compare,product_117,1,4,0,3,22,2,andre_weinand
general,product_72,1,4,0,2,23,2,vrubezhny
report,product_10,1,6,0,4,1,2,yuejie.chen
eclipsebot,product_140,1,4,0,3,0,2,swtbot-inbox
tool,product_49,1,6,0,3,32,2,skannoor
modelbase,product_23,1,4,0,4,116,2,dtp.modelbase-inbox
php explorer & projects management,product_116,1,6,0,11,629,4,ganoro
tool,product_49,1,6,0,6,3,2,wlu
jst,product_168,1,6,0,4,1,2,kathy
rse,product_141,1,4,0,3,51,2,kmunir
report,product_10,1,6,0,3,10,2,xhe
client,product_110,1,4,0,9,102,2,e4.orion-inbox
ui,product_117,1,4,0,4,11,1,ralf.petter
core,product_139,1,4,0,2,0,2,a.gurov
tptp,product_173,1,6,0,13,239,2,guru.nagarajan
bugzilla,product_91,1,4,0,2,2,4,mik.kersten
general,product_other,1,4,0,6,0,2,kchong
connectivity,product_23,1,6,0,4,22,2,bfitzpat
cdo,product_39,1,6,0,3,25,2,mtaal
debugger,product_116,1,6,0,4,8,2,php.ui-inbox
docs,product_23,1,4,0,3,75,2,bfitzpat
jst,product_164,1,6,0,4,0,6,nagrawal
cbi p2 repository aggregator,product_16,1,4,0,4,5,2,b3.aggregator-inbox
tptp,product_173,1,6,0,5,87,1,vishnu.naikawadi
ruby,product_25,1,4,0,5,48,5,mikhail.kalugin
ecf,product_29,1,4,0,6,2,2,ecf.core-inbox
general,product_21,1,6,0,4,0,2,paul.fullbright
swt,product_117,1,4,0,5,9,2,Silenio_Quarti
wikitext,product_96,1,4,0,5,18,2,greensopinion
ui,product_91,1,4,3,31,84,2,mik.kersten
incubator,product_52,1,4,0,4,0,2,equinox.incubator-inbox
framework,product_101,1,4,0,5,38,2,steffen.pingel
debug,product_117,1,4,0,3,0,2,pawel.1.piech
jst,product_168,1,4,0,5,5,6,kchong
wst,product_168,1,6,0,13,6,4,sengpl
resources,product_117,1,4,0,5,40,2,john.arthorne
editor,product_110,1,4,0,2,0,2,curtis.windatt.public
chart,product_10,1,4,0,5,35,2,wangy
query,product_153,1,6,0,7,436,2,balazs.grill
cdt,product_17,1,4,0,2,1,2,aleherb+eclipse
tptp,product_173,1,6,0,3,1,4,antony.miguel
ui,product_69,1,4,0,5,17,2,markus.kell.r
other,product_118,1,6,0,3,9,2,tuhongj
infrastructure,product_other,1,4,0,3,6,2,alexander.edelmann
ui,product_117,1,4,0,3,10,2,Lars.Vogel
php explorer & projects management,product_116,1,6,0,5,1,2,php.ui-inbox
zest,product_91,1,4,0,3,202,2,irbull
codegen,product_114,1,6,0,8,90,2,eposse
website,product_20,1,6,0,2,414,2,eric.poirier
cvs,product_117,1,4,0,4,1,2,platform-cvs-inbox
tool,product_49,1,6,0,5,17,2,pnle
query,product_153,1,4,0,2,142,2,incquery.tooling-inbox
website,product_78,1,6,0,2,456,2,akurtakov
team,product_117,1,4,0,4,0,2,tomasz.zarna
proposals and reviews,product_20,1,4,0,21,1192,2,emo
cdt,product_17,1,4,0,4,0,2,dschaefer
diagram,product_133,1,6,0,9,766,4,pierre-charles.david
cdt,product_17,1,4,0,4,13,4,mschorn.eclipse
other,product_173,1,4,0,2,1,2,zyyangbj
releng,product_117,1,4,0,3,123,2,platform-releng-inbox
agent,product_142,1,4,0,5,0,2,tcf.agent-inbox
engine,product_120,1,4,0,2,0,4,alexander.igdalov
ecf,product_29,1,4,0,7,2154,2,ecf.core-inbox
gef,product_55,1,4,0,2,0,2,nyssen
swt,product_117,1,4,0,8,71,4,kcornell
releng,product_117,1,4,0,5,0,2,platform-releng-inbox
cdt,product_17,1,4,0,6,418,2,oleg.krasilnikov
report,product_10,1,6,0,4,4,4,wyan
website,product_20,1,4,0,7,466,2,chris.guindon
core,product_113,1,6,0,4,1689,2,mdt-papyrus-inbox
core,product_3,1,4,0,7,1005,2,andrew.eisenberg
docs,product_23,1,4,0,3,14,2,dtp.connectivity-inbox
tptp,product_173,1,6,0,6,146,2,smith
moxy,product_31,1,4,0,3,1,2,denise.mahar
ui,product_115,1,4,0,5,196,2,janek.lb
ui,product_38,1,4,0,4,3,2,egit.ui-inbox
storage,product_other,1,6,0,3,0,2,smila.storages-inbox
bugzilla,product_91,1,4,0,4,1,2,robert.elves
report,product_10,1,6,0,6,21,2,hustlg
cross-project,product_20,1,4,0,5,0,5,webmaster
user,product_117,1,4,0,9,2,2,curtispd
core,product_133,1,6,0,4,2,2,pierre-charles.david
core,product_103,1,6,0,6,10,2,dirk.fauth
cdt,product_17,1,4,0,3,181,2,elaskavaia.cdt
chart,product_10,1,6,0,4,16,2,yi.wang
wikitext,product_96,1,4,0,39,70,2,greensopinion
query,product_153,1,4,0,2,0,2,zoltan.ujhelyi
text,product_69,1,4,1,4,1971,2,jdt-text-inbox
framework,product_52,1,4,0,13,32,5,equinox.framework-inbox
xtext,product_146,1,6,0,4,1,2,jan.koehnlein
cross-project,product_20,1,6,0,7,168,2,cross-project.inbox
setup,product_108,1,4,0,11,39,2,stepper
mailinglists,product_20,1,4,0,2,0,2,webmaster
stardust,product_173,1,6,0,3,0,2,stardust.portal-inbox
code assist,product_116,1,6,0,8,10,4,spektom
core,product_148,1,4,0,3,0,2,igor
ui,product_other,1,6,0,6,0,2,emfdiffmerge.ui-inbox
core,product_69,1,4,0,2,0,2,Olivier_Thomann
